Name,stars,Title,Reviews
Jonathan Tran,5.0 out of 5 stars,Heavy,Best for folks who are just getting into cinematography! A bit on the heavy side but images are absolutely stunning!
SteveAnon,5.0 out of 5 stars,It's a Fantastic Lens,"I purchased this lens for my 70D and they are made for each other. It's not silent but it's more than quiet enough for video. I've had it for almost a week and it's been the only lens on my camera since. I'm extremely happy with it's image quality for stills and video and it is solidly built. I haven't tried every lens out there, but it has to be the best zoom lens for a crop sensor. For $800!!!Thanks to 47th St for getting it to me so quickly."
Jarrod,5.0 out of 5 stars,Great range and super sharp!,I absolutely love this lens! I use it with my Red Scarlet on nearly every shoot! Super sharp and very versatile!
Rodrigo Polo,5.0 out of 5 stars,A perfect lense,"This is by far one of the best lenses I have, incredible build quality and results."
HG,3.0 out of 5 stars,Damaged product,"I loved the lens but my product came damaged, the zoom didn’t fully extend to 35mm and the lens was loose falling out of the base. I’ll try again with a new one."
Dominick,5.0 out of 5 stars,Great lens for my D5600,"This lens is the ultimate for low light shooting and bokeh. I use it with my Nikon D5600 and while it’s a great lens, it does struggle a bit with auto focus."
Hein van der Heijden,5.0 out of 5 stars,Five Stars,I am having so much fun with this lens on my Canon 70D. Great value for money! Highly recommended.
Kenneth J Urbanek,5.0 out of 5 stars,"My general use lens at 1.8 through range, how can ya do better?","I do not know the answer to that. This lens was selected for its DXO Mark ratings and specs for the intended application. Again quality is there completely. This is my 2nd lens along with the 50 - 150 f 2.8 to run on the DX7100 so I am spoiled with top choice things at this point. As a nonprofessional I expect to learn and do a lot with this package this summer. I have read the good write ups and great owner comments before selecting and I think those reports are spot on no issues. 5-14-14 after doing Mother's day at Cleveland Botanical Gardens and all the flowers and staging, got great results with the lens. Was quick to focus as I was handheld walk about, many people so it was a quick shoot thing and got the shots."
Amazon Customer,5.0 out of 5 stars,Five Stars,Love it!
Amazon Customer,5.0 out of 5 stars,Super sharp lens Fast and accurately focusing every time,"Super sharp lens Fast and accurately focusing every time , very happy."
K Smith,5.0 out of 5 stars,Sharp like a prime with zoom,"I have rented this lens twice. Now I own it, this is a very sharp lens!!!! Sharp like a prime with zoom!!!"
Eliezer,5.0 out of 5 stars,Excellent lens,It’s a little heavy but it’s excellent for portraits.
Chi Do,5.0 out of 5 stars,Very good lens to cary around.,I love the lens but wish that I have a little bit more zoom. Pictures came out really sharp. Auto focus is fast with nikon D7200. I tried to record several video at very please with the result. It is a very good lens to cary around even though It is on a heavy side. I could cary it with me during two 4hr hiking trip without any real problem.
M. Hughes,5.0 out of 5 stars,Beautiful lens designed for Crop sensors,"This Art lens from Sigma is all they claim it to be. Beautiful lens designed for Crop sensors, delivers really sharp images with amazing Bokeh."
Chris Shea,5.0 out of 5 stars,Beefy lens that produces EPIC shots!,I love this lens sooo much. The shots you can produce with it will have your jaw on the floor. It's amazing in low light and has massive depth of feel. The glass is very high quality and really gives you crisp images!
Mr.Four,5.0 out of 5 stars,A collection of prime lenses in one lens,"This lens is incredible. How many good things can I say about it? The close focus (especially zoomed to 35mm), the unique look of 18mm at f/1.8, the wonderfully solid build and well dampened zoom and focus rings, incredible sharpness, beautiful out of focus areas (bokeh)... I can keep going!Rather than looking at this lens as a short-ranged zoom, I consider it an answer to the prime lenses Nikon never provided DX shooters with. My bag has been simplified: this Sigma and a Nikon 85mm f/1.8G are all I need to bring.I also purchased the USB Dock to get the most out of this lens. While the lens worked great out of the box, I now have pin-sharp images at any aperture and any distance and zoom."
product reviewer,5.0 out of 5 stars,Five Stars,Great lens.
Rock Chalk,2.0 out of 5 stars,"I thought after few years, Sigma would have fixed ...","I thought after few years, Sigma would have fixed the Auto Focus issues with this lens (I use a Pentax K5II). Going back to seller today."
Amazon Customer,2.0 out of 5 stars,not to my satisfaction,"The came in on time, but focusing it is not accurate, seems like the focusing mechanism is not working right."
johneric lavergne,5.0 out of 5 stars,Love it,Love it
Jose B.,5.0 out of 5 stars,exelent in low light,awesome lens exelent in low light and super sharp which in my opinion is sharper than canon
Emily B Gorg,4.0 out of 5 stars,Solid Performance. Nice!,"Great lens! Gorgeous, crisp photos, fast, true color. Only negative is that at 18mm, the lens creates a dark vignette at the edges of the frame. Made worse with lens hood. Overall, solid performer."
Tom  R,5.0 out of 5 stars,fantastic lens,"This lens with my 7100 is amazing. Especially for costing less than a grand. I upgraded from a 5100 and the 18-105 that comes with it, so it isn't a fair comparison, but I am very happy with this Sigma lens."
Carson,5.0 out of 5 stars,"Absolutely stunning lens, I have it on a speedbooster ...","Absolutely stunning lens, I have it on a speedbooster and custom cine gears. This is always my go to lens."
Linda C.,5.0 out of 5 stars,Great Lens for Canon Camera,Just what I needed for my camera.
YgsPixel2012,5.0 out of 5 stars,Five Stars,Thank you!!!
Amazon Customer,5.0 out of 5 stars,Five Stars,It's the swiss army knife of lenses--you'll use this one A LOT
Obinwa Summors,5.0 out of 5 stars,Amazing lens!!!,"I'd heard about this lens, but finally decided to take the plunge. Unreal crispness and sharpness. It is worth every penny"
Amazon Customer,1.0 out of 5 stars,aun espero el reembolso,Bad
Luis Giovann Sanchez Rios,5.0 out of 5 stars,Bild Quality,"Is very solid, very sharp and very fast autofocus. Is the best lens for crop sensor. I'm a Filmmaker and for me is the best Lens for video."
Titus,5.0 out of 5 stars,Five Stars,"Beautiful lens, but a bit price and heavy."
pal2tech,4.0 out of 5 stars,Received Lens,Received Lens
Daniel Figueroa,5.0 out of 5 stars,In love with the lens,I'm in love with this lens. Probably one of my favorite lenses right now. Definitely worth purchasing.
Ben,5.0 out of 5 stars,If you don't plan on moving to full-frame,"This lens is superb. Build quality, clarity, and sharpness are all top notch. Makes me feel much less of an urge to upgrade to a full-frame camera. I've already done a few shoots with this lens and it is stellar."
Tommy Jenks,4.0 out of 5 stars,Overall Good Lens,Auto focus should be more accurate. Takes beautiful pictures with brilliant colors and sharpness.
Kai Koura,5.0 out of 5 stars,"Beautiful, fast, sharp.. and heavy.","Beautiful, fast and sharp lens!!Also quite heavy, and seems top heavy and less well balanced compared to another somewhat heavy lens like the 24-105.Speedy delivery from Amazon affiliate."
Pedro L.,5.0 out of 5 stars,Buy it!,Great lense!
Mindcontrol,5.0 out of 5 stars,Updated review,"I originally reviewed this lens when it first came out around 5 years ago. It's IQ and quality build is second to none. There is review after review online about how good this lens is. It's interesting that I feel limited on a cropped sensor body when I use a 35mm prime, however, when I have this 18-35 I tend to want more zoom. Canon has the 17-40 f/4 that offers 5mm greater zoom however that lens is no where near as good as this lens. I don't even consider them in the same category. There is one major drawback; not enough to reduce a star, but that is the size and weight of this lens. I took some excellent low light fish photos at the Monterey Bay Aquarium with this lens. I was there for approx 4 hours and it did not weigh too heavy on me. Anything longer than 4 hours might begin to takes it's toll if you are not used to carrying around a heavy lens. Overall I don't think there is another lens like this around. It's in a class of it's own. You can replace a few primes (24 and 35mm) for this lens. I enthusiastically recommend this lens."
Steve B,5.0 out of 5 stars,Every bit as good as everyone is saying. I love it.,"I cannot say enough good about this lens. Check out the glowing online reviews and you'll get an idea of how well Sigma hit the mark with this lens. The focus is fast and accurate. It does not come with vibration reduction but a lens this wide doesn't need it.Simply said, this is a premium, fast lens for an amateur photographer like me and it comes at a great price. You won't find a better lens by Nikon at any price.If you have been relying on a popup flash on your camera, you will need to invest in a better one. This lens puts a significant shadow in my pictures when using the pop-up on my D5300."
Marielina,5.0 out of 5 stars,I love it. Is the Best.,Perfect.
holyMOLy,5.0 out of 5 stars,Five Stars,The best lens I ever bought.
Kelly Leverett,5.0 out of 5 stars,I Love this lens !!!!!!!!!!!!!!!,"Probably my most favorite lens in the bag right now, we use it for Video and Photography and absolutely love it!!!!!"
jared c wolfe,5.0 out of 5 stars,Amazing Lens,"This lens is great. Extremely sharp, great color and contrast and great wide aperture. Focus is fast and silent. Rugged construction. Feels more solid than my Canon 70-200 L lens."
rrun,5.0 out of 5 stars,Five Stars,"Super sharp, great for video. You will never hear anything bad about this lens."
J.E.Gamble,5.0 out of 5 stars,Five Stars,Amazing lens.
Aram K.,5.0 out of 5 stars,Great on BMCC,"This lens is sharp. I mean this lens is sharp. At wide open this lens is as sharp as it gets, quality of image i get from lens and bmcc is unbelievable. Its a must have lens !!!!!"
Steve,5.0 out of 5 stars,Follow some basic rules and you get fantastic results.,"The reviews are spot on concerning the overallquality of this lens. My first impressions were ""WOW"". I immediately tried to take indoor pictures to test the lens out and at first I was disappointed. I am a beginner photographer and my pics were not coming out clear. I tested the D5500 on a tripod and my pics were tack sharp. Handheld, they were out of focus to me so I was getting a little anxious. Finally, I decided to research youtube and customer comments about insuring good focus. One tip helped me achieve excellent results. Shutter speed had to be greater than focal length. Yes, once I made sure my shutter speed was high enough, my pictures were in focus and sharp even wide open. I will use a tripod when shooting anything requiring longer than 18 hundreths of a second and pay attention to the shutter speed when shooting handheld. Hope this helps someone out there who is just learning to take great shots."
Amazon Customer,5.0 out of 5 stars,Great,One of the most solid lenses available. Love everything about it
Jason Tomberlin,5.0 out of 5 stars,Great 18-35mm - best bang for your buck!,"I love this lens. DigitalRev does a great video review, he's spot on with this lens. http://www.digitalrev.com/article/sigma-18-35mm-f-1/MTU5NDExNDU5"
Marcus ,5.0 out of 5 stars,Exclusive,Gangsta
Aniruddha Sarkar,5.0 out of 5 stars,I love this lens,It’s a really nicely made lens. Feels heavy. Sharp Even at 1.4 f. Wide range. Great glass.
abdulaziz,5.0 out of 5 stars,Worth for money,Nice zoom lens for both video and photo
atexe,5.0 out of 5 stars,Worth the bang!!,I love this lens on my D3300It really does the job!!I wonder if I use a better camera how the quality would beVery pleased!!
Amazon Customer,5.0 out of 5 stars,All in one type lens,I like the fact that the lens feels sturdy in hand as you use it with camera!
Katherine Jones,5.0 out of 5 stars,Great in low light,"Love this lens! It was amazing to shoot with, especially in low lighting."
Erikk,5.0 out of 5 stars,Five Stars,good product that works excellent! love it! this lens is incredible and a must for any photographer!
Amazon Customer,5.0 out of 5 stars,NEXT LEVEL,I absolutely LOVE this lens. It took my photography & filmmaking alike to the next level
Amazon Customer,5.0 out of 5 stars,"Excellent product, very satisfied with it.",A good quality product
Gisele Mascarich,5.0 out of 5 stars,Five Stars,best lens ever
Top Notch Approved Deals,5.0 out of 5 stars,Top Notch lens,"I'm using this lens on a Nikon D5100. At first, I had some focus issues, then I purchase the USB Dock and fine tuned its settings. Its a beautiful experience after. Its sharp or sharper than any prime lens I've ever used, even at 18mm 1.8 & across the entire focal length. The trick is to adjust the settings for your individual camera. For my use, this is now my all round lens."
jjk,5.0 out of 5 stars,Love it!!,Purchased this for my husband's new Canon camera and he absolutely loves it. It allows him more opportunities to take wonderful pictures and interfaces well with the camera.
PhotoBubba,5.0 out of 5 stars,Wonderful fast zoom,"I love this lens. I purchased it to use on my Sigma SD Quattro H camera, and it has wonderful image quality, which is important since the the SD H had 50 MP effective resolution. It also covers the H sensor without trouble, even though it is DC lens. Have not noticed any vignetting at any aperture. This is a heavy lens, so realize that making a zoom that has a 1.8 constant aperture is no ""small"" feat. I worried about whether it would be worth the cost, but it is worth every penny I paid. Excellent build quality, feel absolutely solid, and operate very smoothly. Yo won't be disappointed."
Blaine Harris,5.0 out of 5 stars,Awesome! Super sharp,"Awesome! Super sharp. Focus at night, it misses but that kind of expective in low light. Also rather heavy but definetly worth having."
RXP Stage II,5.0 out of 5 stars,Great bokeh on aperture priority,Smoker lens for indoor low light photos. Great bokeh on aperture priority. Zoom is useful for framing. Too bad they don't have 35-150mm or similar in F1.8.
Joseph Yu,5.0 out of 5 stars,Five Stars,"Excellent lens. It is a bit heavy, but to me that's what a quality lens should feel like."
sasha,4.0 out of 5 stars,"in which case it works amazing, but slower","the lens itself is outstanding. however, i give it four stars because it has some focusing issues with the cannon 70D. it took a lot of tweaking and it still doesn't quite get it right unless i'm shooting in live mode, in which case it works amazing, but slower. if you're not trying to shoot in high speed situations it does great. i love the shots i can get in low light but most often shoot in manual focus to make sure i get it right."
Amazon Customer,5.0 out of 5 stars,Sharp,You won't be disappointed
Daniel Joseph Design,2.0 out of 5 stars,Terribly Disappointed....,"Let me preface this review by saying I paired this lens with a brand new Canon 70D. So I know the issues are with the lens and not my camera.I did extensive research on this lens. everyone and I mean EVERYONE on Youtube says it is amazing. I found it lacking.+ Pros: wonderful build and feel. It feels like an $800+ lens. I only wish it preformed like one. When it did work, it took beautiful shots+ Cons: Focus - The HSM motor was so loud using it for video (which was the point of purchase) was useless. - Liveview focusing would take 3-5 seconds of hunting OR it just wouldn't find focus and the screen would be completely blurry - focus through the view finder was better, BUT it did tend to back-focus and hunt. At times it took 1-2 seconds to lock on to a shot. For $800, I expect the lens to preform better than my canon 24mm that only cost me $130......I don't know if I just received a bad copy or what, but I say stick with Canon. I wanted to give Sigma a chance and it was just sad. I was excited when the pack came and as soon as I took the first shot I knew something wasn't right.Good luck to you and I hope you found this review helpful :D"
Adrian W.,2.0 out of 5 stars,My copy had the usual autofocus issues. I paired ...,"My copy had the usual autofocus issues.I paired it with the Canon t3i, 70d and 80d all had the same issue when focusing through the viewfinder, it works well in liveview mode though.Doing microfocus adjustments in the 70 and 80d doesn't help either as it is not consistent in the error in focusing."
Dominique Goodloe,5.0 out of 5 stars,I love it so much,Seriously amazing
Maria,5.0 out of 5 stars,Good Price for the Quality!!,Great lens! works in any setting film or photography.
David Alanis,4.0 out of 5 stars,After finally getting the correct lens (at twice the advertised ...,After finally getting the correct lens (at twice the advertised price) I was able to use it for a wedding. Fast and sharp. A little heavy but will be used often.
Ralph Angeles,5.0 out of 5 stars,Great lens!!,This lens is awesome! Great for videos!
Amazon Customer,5.0 out of 5 stars,Five Stars,I almost never take this off my camera.
duma_gauper,5.0 out of 5 stars,Satisfied,excellent quality and quick delivery
thou,5.0 out of 5 stars,Good focus on Canon 7D,"Great lens. Using it on a Canon 7D, the lens focuses quickly and accurately in all but the darkest scenes. Works wonderfully for capturing kids at play, and for capturing people in general. Good bokeh for shooting plants and wildlife."
calvin parker,5.0 out of 5 stars,Great lens! If it was for full frame I ...,"Great lens! If it was for full frame I would say even greater lens. Very sharp, great bokeh and nice build."
Y. Lee,5.0 out of 5 stars,The best lens I have ever used for my Sony camera,"The one I own is for Sony A-mount cameras. Early this year, I sold my Sony A57 and got the A5100--a E-mount camera. So I now use this lens with an adapter and need to shoot everything manually but still, it works great. I get great image quality consistently.This is, without a single doubt, the best lens I've ever used. It's a ""zoom"" lens with a ""constant"" F1.8 aperture, so you can expect great low light performance at any focal length from this lens. The only con for me is the lens is really heavy and long for my A5100, but I can still shoot great video without a problem.Here's my video that I shot with the A5100 + Sigma 18-35mm at Knott's Berry Farm:https://youtu.be/khZvBZQNygQ"
Romantigua,5.0 out of 5 stars,Five Stars,great lens
Michael Westwood,5.0 out of 5 stars,"Great Lens, But",Like Sigma Arts lenses. Only complain it came with a huge munch on the front of the lens. QC might be slipping.
Arum,5.0 out of 5 stars,Sigma 18-35 Canon,Everything is perfect just how I expected!
Kenneth Leung,5.0 out of 5 stars,this is an amazing lens and i LOVE it however my package had ...,this is an amazing lens and i LOVE it however my package had a few issues. my box was missing the lens hood and case. ive contacted sigma and amazon and hopefully one of them can resolve this issue for me
khary walker,1.0 out of 5 stars,"UNUSABLE PURCHASE, very bad experience with this seller","I Purchased this lense a while back and was very pleased to see that it had arrive looking pristine,basically new although it was listed as used. after testing it on my canon 70d i noticed right away that it wasn't as sharp as all the reviews touted it to be, maybe a bit above kit lense quality , but im not one to complain or rock the boat so i decided to try and make it work, (ever the optimist) over the months there was noticeable degradation to the picture quality , bearing in mind that i didn't start out at the best quality to begin with, i still didn't complain or even thought about coming on here to right a bad review. but now at present this lense (sigma 18-35mm) has stopped all together. it wont focus not even on Manual focus so im basically holding a paper weight now. Im VERY disappointed right now if i had dropped or bumped this lense in any way i would have just own up and called it a lost but after shelling out $650 on a lense naturally im gonna baby it and that i did and still im left holding the short end of the stick. I honestly do think that this seller got there hands on some sub par, below standard sigma gear and and can afford to offload them on unsuspecting amazon buyers at an attractive price. this is so unfair, what does one in my shoe do in such a situation at this point, i'm not one to complain but felt compelled to warn others as i would want them to do the same for me Be extremely cautious if u decide to shop from this seller."
Abistone,5.0 out of 5 stars,buttery smooth,worth every penny. beautiful for video
JGA,5.0 out of 5 stars,Five Stars,Nothing shirt of amazing
Mikkel Stephensen,5.0 out of 5 stars,Fantastic lens,"I have nothing bad to say about this lens. It is outstanding. The bokeh is really nice. It's fast and stealth. The image quality is supreme. I own several L-lenses, and I honestly feel like the built quality is even better on the Sigma.I can absolutely recommend it. It has replaced three primes for me.It is heavy - if you do not like that, don't buy it."
Tyler J. Hamlet,5.0 out of 5 stars,Five Stars,Great piece of glass.
Thiago Vianna,5.0 out of 5 stars,Really great and versatile lens.,The sharpest at f1.8
Officiallybush,5.0 out of 5 stars,Sigma x Panasonic,Razor sharp and works great on the GH5 with a focal reducing adapter
Ben Schmitz,5.0 out of 5 stars,Danm.,Danm. Never thought I would be intimidated by a tiny lens.
Jordan Bench,5.0 out of 5 stars,Five Stars,The best lens for the d7100! No problems at all!
Love My Uke,5.0 out of 5 stars,Works great with Canon T6S,"Couldn't be more pleased. I purchased this lens for my Canon T6S. I was a little concerned about ordering as there have been reports of focusing issues requiring the Sigma USB dock to calibrate. I decided against the dock figuring I could always add that if necessary. Well, happy to report that this lens focuses perfectly right out of the box. Both One Shot and AI Servo, no issues. Can focus within just a few inches at 35 mm (actually about 56 considering crop factor) and at f1.8, background blur is excellent and very uniform.I've only taken a handful of pictures with this lens but so far, I would highly recommend it to anyone considering it. Very high quality construction as well. Feels very solid."
Brand new day,5.0 out of 5 stars,Simply solid,"This is a very fast, very well made lens. It's heavy, too/ I was stunned how silent the focus mechanism is."
JRESH,5.0 out of 5 stars,Super Sharp / Will Not Disappoint!,"Sharper than any Nikon lens I've used.On a 6000 x 4000 px shot, full crop, the sharpness is amazing. There is some distortion and vignetting, but anyone who would care about such a thing should be shooting in RAW format, and therefore would be able to fix the issue in camera RAW with one click. For those of you who are unaware, this is something that happens with even $3,000 + lenses.I have pre-ordered the Sigma Art Series 50mm lens due to the impact this lens has had on me. With Sigma's art series lenses competing with and beating Zeiss lenses at a fraction of the cost, I see myself only purchasing from them from now on."
Ron P,5.0 out of 5 stars,Buy it. Its perfection,"I never write reviews. However this lens is so good, it wouldn't be fair if i didnt write one. This is the best wide angle zoom lens in the world right now. At $800 its a steal compared to canon or nikon alternatives. Its unbelievably sharp. At f1.8 you already know how much light you getting. This lens been sold out for a year, and at least 2 months average wait for back orders. That shows you how great this lens is. Amen."
Amazon Customer,5.0 out of 5 stars,Five Stars,Amazing lens. Very versatile. Great buy for any photography lover!
Clockberg,5.0 out of 5 stars,this lens rocks,"this lens is amazing, photos are super sharp and it feels solid and well constructed. i was a little worried that i would get a copy with bad autofocus but it works flawlessly on my t4i, focuses fast and effectively. definitely get this lens if you are considering it."
Mel Coon,5.0 out of 5 stars,awesome,Love it
Scott Patterson,5.0 out of 5 stars,gonna get some good use off this baby,ditto to the others 5 star reviews. gonna get some good use off this baby. solid construction great results
Ejmr,2.0 out of 5 stars,"very good lens, but kinda do a wierd noise when ...","very good lens, but kinda do a weird noise when trying to focus.. i dont know if this is normal, but it makes any mic on top of camera get this sound hard...Update: after looking online for this noise, i found that is not normal... i don't know what to do know.. but in all recording my mics get this AF noise is really annoying..."
Chris Majestic,5.0 out of 5 stars,"Best of the best lenses under $1000. Very fast, bright, and sharp.",Your browser does not support HTML5 video. I bought this lens to use with my Canon 70D and Panasonic GH4 with Metabones. What an amazing lens!! You can see and feel the quality as soon as you remove it from the box. Some of the pictures and video I get from this thing are absolutely amazing. The incredibly short depth of field is insane! 18-35mm is perfect for video and good for close-up photos. I couldn't be happier.My pictures are so crisp. This is easily the best lens I have in my bag now.
James Bergman,5.0 out of 5 stars,love the lense,"Very quick service, love the lense, would buy again"
Stephen M. Corby,5.0 out of 5 stars,Truly replaces a set of primes.,"You can't beat this level of quality for the price. Sigma impressed me so much with this lens, that I just purchased a 50-150mm f/2.8 and will keep buying these guys until they let me down. The Bokeh you can get on this thing is incredible, you wont regret it!"
S4mm4n,5.0 out of 5 stars,Best lens I have!,Just buy it! What more can I say.
Amazon Customer,5.0 out of 5 stars,Five Stars,The best!! It is amazing
AQucsaiJr,5.0 out of 5 stars,Fantastic,Never was a huge fan of off camera brands but the capabilities of the lens are second to none. The price is also spot on.This lens has been an absolutely awesome lens to shoot with. The camera I use is the Canon 60d. This has become my go to lens for shooting indoors and also close up shots of my kids. After using this lens it has defiantly made me a fan of the Sigma art lens line. I am already looking at my next Sigma art lens.
Edgar Cervantes,5.0 out of 5 stars,Get body/lens calibrated by Sigma !,Been using this lens for about a year now and it has been great. It did have focusing issues at first but I sent it to Sigma to get the lens calibrated and shot amazing after that.
antwan,5.0 out of 5 stars,Great lens!,Great lens!
Davi Lozzer Barcelos,5.0 out of 5 stars,Five Stars,"Very good lens, the 1.8 aperture is awesome. Very sharp also."
Gregory A Sabo,5.0 out of 5 stars,Five Stars,Super happy with my purchase. More shots on Instagram @sabo_shoots.
Baz,5.0 out of 5 stars,Five Stars,10/10 Top seller
Adrian Gonzalez Calvo,5.0 out of 5 stars,Five Stars,Awesome lens
Awesome,5.0 out of 5 stars,Fantastic lens!,Simple review! WOW!
Joseph Olaes,5.0 out of 5 stars,Must for the GH5,Works amazing with my gh5
RDB,5.0 out of 5 stars,Five Stars,This is a Great lens.
Fellow Traveler,5.0 out of 5 stars,A Fine Lens....as Advertised!,"Congratulations to Sigma for bringing us this new and exciting product and, whats more, at an affordable price!The lens is everything it's advertised to be and I got first-rate images on my first time out in shooting low-light street photography situations on my Canon 60D. Focusing in low light situations did not prove to be any problem which was the only possible criticism I have seen others make. With more use, I expect I will enjoy this lens even more. The only possible downside I have is that the lens is a bit heavy and gets some getting used to. But then, given what it does do, one doesn't expect it to be able to zoom out to 120mm or make the morning coffee or other things as some self-appointed ""expert"" nit-pickers would want it to.At this time, there is no Canon or other lens out there that can match what this lens can do and at such a reasonable price. Thanks, Sigma."
Daniel Acosta,5.0 out of 5 stars,Good Product,Choose this for the 18-35mm range.I like the fact that it doesn't extend when you change the focal distance.Have all the benefits of a prime lens and is not plastic
maskirovka,5.0 out of 5 stars,"If you shoot low-light events like dance, performance, or sports you DEFINITELY want this lens","This is a review I expect to update as I continue to use my brand new Sigma 18-35mm F1.8 lens. I am not a super-technical pixel-peeper kind of guy but I am a pretty experienced photographer and I'm writing this with a similar audience in mind. I bought this lens because I do a lot of event photography, especially dance (doing volunteer work for a ballet company) and while I've done pretty well with my trusty Canon 24-70mm F2.8 lens, I've felt a bit (sometimes more than a bit) limited when I photograph fast moving dance sequences in the low-light environments stage and dance very often are. That's because the 24-70mm F2.8 simply doesn't do as well on an EOS 7D with its 1.6x (APS-C) crop that it does on a full-frame like my EOS 5D Mark III.That's what's one of the very nice things about this lens. You get the same performance on the crop body with it that you get with the 24-70mm on the full-frame. And that's important because my crop body with its 8 frame per second burst capability is the best camera for catching action (as opposed to the significantly smaller burst capability of the 5D Mark III).07/17/2013:So let's start with the first impressions:1. The price on this lens is great. If it had been Canon or Nikon, I would have expected paying far more than what Sigma is charging for a game-changer lens.2. The build quality is very nice. Holding the lens in my hands, it feels solid and well-constructed.3. Although the lens is not a macro, I was impressed by how close it could focus...I actually was able to get good, sharp images of my parrot's face when I focused in below the ten inches that the specifications say it can do.4. The lens focuses very quickly and the small number of images I've captured with it appear good and sharp. When I open it up, the bokeh appears very nice as well.5. The lens is very quiet...I could hardly hear it while it moved to focus.6. I also think that the lens is fairly low-profile...one wonders if Canon had made it whether they would have made it white which could draw unwelcome attention when doing street photography.As far as negatives go, nothing leaped out at me. Some might not like the fact that you can only stop it down to F16 but who is going to use a lens like this for landscapes?***07/28/2013I'm writing to update this review now that I've been out with my Sigma 18-35mm F1.8 on an EOS 7D body to two events I photographed. My subjects were both the same...the ""Nat Pack"" entertainers that give t-shirts away and dance on the dugout roof during breaks in the game.I can't figure out how to upload photographs to the review site here (I'd welcome any help on that). In the meantime, you can see the photos from one game that I took on my flickr account photostream. Just go to that website and add after the .com suffix ""maskirovka77/sets/72157634795619485/"" to see the shots.Frankly, I'm delighted with the lens. Even shooting with it opened all the way up, it was easy to get nice sharp, vivid pictures of the Nat Pack with good bokeh. The lens focused rapidly and I didn't wind up with very many blurry shots at all.I won't even call this a drawback of the lens, since I'm sure that it's a result of optics and mechanical limitations, but the focal length range of the lens is not as good as the 24-70mm F2.8 lens but that's life.One other thing I've realized is that I can pretty much put my old 50mm F1.4 on the market because the Sigma gives me so much more flexibility with its zoom."
Destre,5.0 out of 5 stars,Quality,I love this lens! One of the Lenses that make taking pictures fun!
Chels K. Von,5.0 out of 5 stars,amazing,love my new lens!!
Ian,5.0 out of 5 stars,so my love for the Sigma lens might be extremely skewed,"I needed to upgrade my wide zoom range as I have a big gap between 16mm and 70mm. I was using an old MF Vivitar 28-50mm as my primary lens in this range, so my love for the Sigma lens might be extremely skewed, but the Art lens is gorgeous. The sharpness throughout the f stops is excellent where it is supposed to be, and very good where other lenses would show their weaknesses. Whenever I scroll through my Lightroom catalog without any picture information turned on, it is immediately apparent which pictures were made with the Sigma.One thing I did have to get used to is manually focusing on this lens. I mainly shoot railroad subjects, so I do not have much need to have a quick auto-focus and I learned on an MF/film camera - I'm just most comfortable setting my focus point manually. In the first couple of outings with the lens I caught myself focusing PAST infinity, and thus resulting in very oddly, and out of focus images. I cannot knock the lens for my own learning curve. Just something to be aware of, and I'm not sure I've heard any other comments related to my early problems.Bravo, Sigma. Looking forward to many other future pieces of glass!"
Dae,5.0 out of 5 stars,Five Stars,Looooooove this lens! So crisp and heavy duty!
Gabesbarista,4.0 out of 5 stars,Four Stars,Great lens. a little slow at focusing. using on a Canon 70D
Shawn Strong,4.0 out of 5 stars,Nice. It works well with the Metabones adapter,Nice. It works well with the Metabones adapter. I loved the Olympus 14-35mm better but it weighed more and bigger. This lens is nice though. Sharp.
Brian Kelley & Carolyn Taylor,5.0 out of 5 stars,Amazing Lens for the Price - Some AF Issues Wide Open,"For those graduating from a kit lens to something slightly better quality, the Sigma 18-35mm F1.8 for Canon is an excellent option. The AF when stopped down is an annoyance, as other reviewers have mentioned, but I've been able to switch to manual or simply AF a few times as a work around. Almost all photos on my site were shot with this lens and a Canon 7D if you need examples: carolynkelleyphotography.com."
Solomon Roberts,5.0 out of 5 stars,Five Stars,The best len
Azavier,5.0 out of 5 stars,Five Stars,excellence lens
Meesh,5.0 out of 5 stars,Another great lens from Siggy,"I bought this for my D7100 after reading reviews, and it's a great lens. I used it for an event and the look of the photos easily matched what I would have expected from my D600 in terms of beautiful IQ, and subject isolation. I am very happy with this purchase."
Elemino,5.0 out of 5 stars,Awesome Lens!,"The YouTube lens, or so it's called. This was exactly the reason I bought it, and it does a great job fulfilling my many needs. For filming and studio work it's an amazing lens. It's also great for photography, but for my needs it's on the heavy side and I always think twice before deciding to tote it somewhere. Still for it's intended purpose, I'd rather have the weight and build quality than the alternative. This is more or less a prime lens with some zoom, and the results are generally amazing."
This guy,5.0 out of 5 stars,"best lens on market in this price range for ""regular"" photos","if you had to get a single lens to do everything, this is it. Attached photo of running faucet in a bathroom. Amazing speed on this lens, even in low light conditions."
Josh S.,5.0 out of 5 stars,Five Stars,Best lense I've had. It drops down to 1.8 constantly which is cool.
Carlos Eduardo Rivera,5.0 out of 5 stars,excellent!!,"(purchased on december 18)......This is a very good lens, excellent build quality, f1.8.. say no more, sharp images..... I cant say everything about this lens because Amazon doesnt allow to write in spanish.. too bad Amazon,....... very good job Sigma"
